Аты кыргызча	Аты орусча	Аты англисче
Мали	Мали	Mali
Мальдив	Мальдивы	Maldives
Мальта	Мальта	Malta
Марокко	Марокко	Morocco
Мексика	Мексика	Mexico
Микронезия	Микронезия	Micronesia
Мозамбик	Мозамбик	Mozambique
Молдова	Молдова	Moldova
Монголия	Монголия	Mongolia
Монтсеррат	Монсеррат	Montserrat
Мьянма (Бирма)	Мьянма (Бирма)	Myanmar (Burma)
Мэн аралы	Остров Мэн	Isle of Man
Намибия	Намибия	Namibia
Орусия	Россия	Russia
Науру	Науру	Nauru
Непал	Непал	Nepal
Нигер	Нигер	Niger
Нигерия	Нигерия	Nigeria
Нидерланд	Нидерланды	Netherlands
Никарагуа	Никарагуа	Nicaragua
Ниуэ	Ниуэ	Niue
Норвегия	Норвегия	Norway
Оман	Оман	Oman
Өзбекстан	Узбекистан	Uzbekistan
Пакистан	Пакистан	Pakistan
Палестина	Палестина	Palestine
Панама	Панама	Panama
Папуа-Жаңы Гвинея	Папуа - Новая Гвинея	Papua New Guinea
Парагвай	Парагвай	Paraguay
Перу	Перу	Peru
Питкэрн аралдары	Острова Питкэрн	Pitcairn Islands
Польша	Польша	Poland
Португалия	Португалия	Portugal
Пуэрто-Рико	Пуэрто-Рико	Puerto Rico
Руанда	Руанда	Rwanda
Румыния	Румыния	Romania
Самоа	Самоа	Samoa
Сан Марино	Сан-Марино	San Marino
Сан-Томе жана Принсипи	Сан-Томе и Принсипи	Sao Tome and Principe
Сауд Арабиясы	Саудовская Аравия	Saudi Arabia
Сейшел аралдары	Сейшельские острова	Seychelles
Сенегал	Сенегал	Senegal
Сент-Винсент жана Гренадиндер	Святой Винсент и Гренадины	Saint Vincent and the Grenadines
Сербия	Сербия	Serbia
Сингапур	Сингапур	Singapore
Словакия	Словакия	Slovakia
Словения	Словения	Slovenia
Соломон аралдары	Соломоновы острова	Solomon Islands
Сомали	Сомали	Somalia
Суринам	Суринам	Suriname
Сьерра-Леоне	Сьерра-Леоне	Sierra Leone
Тажикстан	Таджикистан	Tajikistan
Тайвань	Тайвань	Taiwan
Тайланд	Таиланд	Thailand
Танзания	Танзания	Tanzania
Тимор-Лесте	Восточный Тимор	Timor-Leste
Того	Того	Togo
Тонга	Тонга	Tonga
Тринидад жана Тобаго	Тринидад и Тобаго	Trinidad and Tobago
Тунис	Тунис	Tunisia
Түндүк Македония	Северная Македония	North Macedonia
Түркия	Турция	Turkey
Түркмөнстан	Туркменистан	Turkmenistan
Түштүк Корея	Южная Корея	South Korea
Түштүк-Африка Республикасы	Южно-Африканская Республика	South Africa
Уганда	Уганда	Uganda
Украина	Украина	Ukraine
Улуу Британия	Великобритания	Great Britain
Уругвай	Уругвай	Uruguay
Фиджи	Фиджи	Fiji
Филиппин	Филиппины	Philippines
Финляндия	Финляндия	Finland
Франция	Франция	France
Хорватия	Хорватия	Croatia
Чад	Чад	Chad
Черногория	Черногория	Montenegro
Чехия	Чехия	Czech Republic
Чили	Чили	Chile
Швейцария	Швейцария	Switzerland
Швеция	Швеция	Sweden
Шри-Ланка	Шри Ланка	Sri Lanka
Ыйык Елена	Остров Святой Елены	Saint Helena
Эквадор	Эквадор	Ecuador
Эль-Сальвадор	Сальвадор	El Salvador
Эстония	Эстония	Estonia
Эфиопия	Эфиопия	Ethiopia
Ямайка	Ямайка	Jamaica
